culture,page_id,level_1,level_2,common_name,latin_name,part,preparation,reference,ca_mg,zn_mg,fe_mg,protein_g,fat_g,fapun3,fapun_all_g,mn_mg,mg_mg,epa,dha
Aleut,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,55,NA,NA,NA,NA,2.04,0.45,NA,NA,NA,0.16,0.22
Aleut,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,67,13,NA,0.66,23.5,4.5,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle,raw,27,19,NA,1,18.7,4.3,NA,NA,0.048,60,NA,NA
Aleut,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,whole,raw,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,oil,raw,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Halibut,Hippoglossinae,muscle + skin,raw,88,20,0.61,0.27,20.5,2.92,NA,0.912,0.011,26,0.217,0.393
Aleut,6152,Fish,Saltwater Fish,Atlantic Halibut and Pacific Halibut,Hippoglossus spp.,not specified,raw,88,47,0.42,0.84,20.8,2.29,NA,0.73,0.015,83,0.071,0.292
Aleut,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,muscle,raw,23,NA,NA,NA,NA,2.3,NA,0.7,NA,NA,0.1,0.3
Aleut,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,muscle,raw,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleut,6152,Fish,Saltwater Fish,Pacific Halibut,Hippoglossus stenolepis,"muscle, cheeks",raw,27,NA,NA,NA,19.2,0.7,NA,NA,NA,NA,NA,NA
