seanuts_id2,species_name,subgroup,log_concentration,log_length,bulk_trophic_level,feeding_mode,feeding_level,reference,abs_lat,nutrient,species1,AgeMatMin,EnvTemp,BodyShapeI,DemersPelag,DepthRangeDeep,Length,concentration,latin_name,pageid,level_1,level_2,common_name,latin_name1,part,preparation
311,Anabas testudineus,finfish,2.9770590082883697,3.2188758248682006,2.76,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",22.816667,protein,Anabas testudineus,NA,NA,NA,NA,NA,24.999999999999996,19.63,NA,NA,NA,NA,NA,NA,NA,NA
323,Anguilla japonica,finfish,2.9444389791664403,5.0106352940962555,3.55,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Oku T. Sugawara A., Choudhury M., Komatsu M., Yamada S., Ando S. (2009). Lipid and fatty acid compositions differntiate between wild and cultured Japanese eel (Anguilla japonica). Food Chemistry 115: 436-440",31.596553,protein,Anguilla japonica,NA,NA,NA,NA,NA,149.99999999999997,18.999999999999996,NA,NA,NA,NA,NA,NA,NA,NA
324,Anguilla rostrata,finfish,2.9496883350525844,5.0238805208462765,3.62,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Otwell W.S., Rickards W.L. (1981/1982). Cultured and wild American eels, Anguilla rostrata: fat content and fatty acid composition. Aquaculture 26: 67-76",35.131275,protein,Anguilla rostrata,3,subtropical,eel-like,demersal,464,152,19.100000000000005,NA,NA,NA,NA,NA,NA,NA,NA
410,Channa punctata,finfish,2.9512577834521614,3.4339872044851463,3.84,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",22.816667,protein,Channa punctata,NA,NA,NA,NA,NA,31,19.13,NA,NA,NA,NA,NA,NA,NA,NA
432,Clarias batrachus,finfish,2.6993457604720636,3.8501476017100584,3.42,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Kamal D., Khan A.N., Rahman M.A., Ahamed F. Biochemical composition of some small indigenous fresh water fishes from the River Mouri, Khulna, Bangladesh (2007) Pakistan Journal of Biological Sciences, 10(9), 1559-1561",22.816667,protein,Clarias batrachus,NA,NA,NA,NA,NA,46.99999999999999,14.87,NA,NA,NA,NA,NA,NA,NA,NA
1304,Cyprinus carpio,finfish,2.856470206220483,4.700480365792417,3.05,hunting macrofauna (predator),plants/detritus+animals (troph. 2.2-2.79),"Papan F., Moghaddam A.Z. (2008). Nutritional evaluation of some species of fishes in Khuzestan and determination of the amount of soy bean meal used in the fish food formula on the basis of its isoflavone content. Journal of Biological Sciences 8(3): 667-670",31.436015,protein,Cyprinus carpio,1,subtropical,NA,NA,NA,110.00000000000004,17.4,NA,NA,NA,NA,NA,NA,NA,NA
522,Dicentrarchus labrax,finfish,2.9831534913471307,4.605170185988092,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",36.5817,protein,Dicentrarchus labrax,3,subtropical,fusiform / normal,demersal,100,100.00000000000004,19.749999999999996,NA,NA,NA,NA,NA,NA,NA,NA
523,Dicentrarchus labrax,finfish,3.0814511489565284,4.605170185988092,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",36.5817,protein,Dicentrarchus labrax,3,subtropical,fusiform / normal,demersal,100,100.00000000000004,21.789999999999996,NA,NA,NA,NA,NA,NA,NA,NA
524,Dicentrarchus labrax,finfish,2.930660276810276,4.605170185988092,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",36.5817,protein,Dicentrarchus labrax,3,subtropical,fusiform / normal,demersal,100,100.00000000000004,18.74,NA,NA,NA,NA,NA,NA,NA,NA
525,Dicentrarchus labrax,finfish,3.062455905596899,4.605170185988092,3.47,hunting macrofauna (predator),mainly animals (troph. 2.8 and up),"Özyrt G., Polat A. (2006). Amino acid and fatty acid composition of wild sea bass (Dicentrarchus labrax): a seasonal differentiation. Eur Food Res Technol 222: 316-320",36.5817,protein,Dicentrarchus labrax,3,subtropical,fusiform / normal,demersal,100,100.00000000000004,21.38,NA,NA,NA,NA,NA,NA,NA,NA
